rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef,train/ent_coef_loss
38.75,799,155,4,0,99.5420665,,,,,,
36.25,804,290,8,0,97.23343675000001,,,,,,
36.75,808,441,12,0,85.241596,,,,,,
37.625,809,602,16,0,98.02852787500001,,,,,,
37.15,811,743,20,0,97.27147005,,,,,,
37.125,811,891,24,1,94.086127625,,,,,,
36.714285714285715,802,1028,28,1,94.47398999999999,,,,,,
36.375,799,1164,32,1,94.129480625,,,,,,
36.583333333333336,802,1317,36,1,97.76748949999998,,,,,,
37.0,804,1480,40,1,99.44897089999999,,,,,,
36.84090909090909,802,1621,44,2,97.23713909090908,,,,,,
36.979166666666664,802,1775,48,2,98.31978022916667,,,,,,
36.80769230769231,802,1914,52,2,97.03416546153845,,,,,,
36.785714285714285,804,2060,56,2,97.24363296428571,,,,,,
36.81666666666667,805,2209,60,2,95.76756068333333,,,,,,
36.53125,804,2338,64,2,94.5095795625,,,,,,
36.411764705882355,803,2476,68,3,93.47969273529411,,,,,,
36.44444444444444,804,2624,72,3,92.08877179166666,,,,,,
36.526315789473685,805,2776,76,3,91.74210040789474,,,,,,
36.6,805,2928,80,3,91.4098825375,,,,,,
36.67857142857143,807,3081,84,3,90.81746688095238,,,,,,
36.60227272727273,807,3221,88,3,91.08148959090909,,,,,,
36.70652173913044,808,3377,92,4,90.93113735869565,,,,,,
36.729166666666664,808,3526,96,4,91.15062325000001,,,,,,
36.6,809,3660,100,4,90.78456486,,,,,,
36.43,810,3798,104,4,88.92764671999997,,,,,,
36.54,810,3944,108,4,88.43840850999999,,,,,,
36.69,811,4110,112,5,91.62328433,,,,,,
36.43,811,4245,116,5,88.60441267000002,,,,,,
36.47,812,4390,120,5,88.75305248000001,,,,,,
36.57,812,4548,124,5,89.35584407,,,,,,
36.55,812,4683,128,5,88.83689171,,,,,,
36.56,812,4820,132,5,88.63378348000002,,,,,,
36.53,812,4970,136,6,88.38304987999999,,,,,,
36.42,598,5122,140,8,88.65662506999999,-42.37639387263808,266.8674286243527,0.00079656,116,0.9277408109154812,-2.490106926407925
36.65,428,5286,144,12,92.03666932999998,-76.71468563079834,76.841548538208,0.00079008,278,0.8180710896849632,-6.18714007139206
36.39,351,5414,148,15,91.9943487,-101.08009855208859,84.56739185702416,0.0007846800000000001,413,0.7365772954879268,-9.158359865988455
36.21,308,5535,152,17,92.37585171,-117.91945343017578,48.433882331848146,0.00077988,533,0.6738295038541158,-11.508751614888508
36.16,270,5676,156,21,91.21423944000001,-136.74416828155518,37.93660748004913,0.00077468,663,0.6145995445549488,-13.117475003004074
36.04,236,5813,160,24,90.52047275000001,-154.39320414775128,24.94653861587112,0.00076872,812,0.556786751424944,-14.757713884920687
36.37,214,5975,164,27,87.77288063999998,-168.09602525499133,29.74115202162001,0.00076276,961,0.5046531251735158,-16.487217956119114
36.34,191,6110,168,31,90.18489425,-179.29908478565704,31.943814106476612,0.00075664,1114,0.4579642445613176,-17.686212001702724
36.23,180,6247,172,34,95.14365689999998,-186.38193490164622,45.13131321498326,0.00075164,1239,0.42223297102110724,-19.76506996154785
36.25,168,6401,176,37,101.00345999999998,-194.4606228298611,36.23098288642036,0.00074556,1391,0.38416651089986165,-20.910333887736
36.72,157,6600,180,41,100.61955335999997,-200.21743774414062,33.84349826124848,0.00073772,1587,0.34218261036716524,-21.703714120583456
36.72,149,6753,184,45,103.93965989999998,-206.22951445708404,31.162186854594463,0.0007315199999999999,1742,0.3102070254248542,-21.966433653960358
36.86,142,6907,188,48,107.18680457,-209.56496658325196,25.388829612731932,0.0007252799999999999,1898,0.2839420005679131,-23.036523962020873
36.84,136,7061,192,51,112.18497563999999,-208.44065130324591,23.37429632459368,0.000719,2055,0.2593065308673041,-25.14794072650728
36.96,131,7222,196,54,119.56302677,-201.23566146123977,20.988930588676816,0.0007128,2210,0.23634446731635503,-26.884439559209916
37.2,126,7380,200,58,125.75002597000001,-199.18692488897415,21.184993766603014,0.0007063200000000001,2372,0.21475465169974736,-27.184724035717192
37.54,121,7552,204,62,134.31938472,-191.4638417561849,18.109369320339628,0.0006996400000000001,2539,0.19530994925234052,-27.865776104397245
37.97,117,7741,208,65,141.70275679000002,-186.73581363843834,15.317886103754459,0.0006926399999999999,2714,0.17686967195376105,-27.914113334987473
38.33,112,7943,212,70,144.98947979000002,-173.51519372328272,13.187179169564876,0.00068416,2926,0.15782078538300856,-28.029765866837412
38.81,108,8126,216,74,152.72975181,-162.95473048997962,14.096062494360883,0.00067648,3118,0.142434677352076,-25.996480568595555
39.31,105,8321,220,78,158.55053846,-156.6520531695822,12.863414121710736,0.0006692400000000001,3299,0.13071507215499878,-24.19958740731944
40.06,102,8554,224,83,162.97534097999997,-144.79194562575395,12.046735006220201,0.00065996,3531,0.11816514918909353,-23.72332780501422
41.37,99,8820,228,89,169.98099919,-135.8185051812066,12.956036024623447,0.00064964,3789,0.10622765372196834,-20.460611661275227
42.16,96,9036,232,93,176.75880880999998,-129.81475779215495,12.472552808125814,0.00064044,4019,0.0970327001478937,-18.493689876132542
42.63,94,9233,236,98,183.16392047000002,-123.15460681915283,11.044550557931265,0.00063256,4216,0.09033682042111953,-18.123339354991913
43.29,91,9451,240,103,191.03917568,-117.35081751206341,10.153313812087564,0.00062408,4428,0.08383016660809517,-17.041249373379877
43.85,89,9671,244,108,191.33224183000002,-114.62329950466962,9.990077676907392,0.0006150400000000001,4654,0.0780063732199266,-13.07039957986751
44.62,87,9876,248,112,196.21360147,-110.29421067671342,9.387367525967685,0.0006078,4835,0.07400051192803817,-11.694960498809815
45.57,86,10092,252,117,205.09837900000002,-106.61129797072638,9.723861206145514,0.0005993600000000001,5046,0.06979240246471904,-11.057957478931971
46.66,84,10342,256,122,211.82838397,-101.1418347275048,9.225764793262147,0.0005893200000000001,5297,0.0658007454976701,-9.54850201021161
48.37,81,10650,260,129,218.22261502,-99.19642793810046,8.317690591554385,0.0005766800000000001,5613,0.06162357939457571,-7.422067542333861
50.13,79,10988,264,137,224.57834313,-96.45625410167449,9.313219783502982,0.0005635200000000001,5942,0.05844521064550505,-3.736514918847915
50.9,78,11200,268,142,227.68652352,-95.33737360044967,10.058209363804307,0.00055388,6183,0.05698184435104215,-2.4738473115965376
51.37,77,11384,272,147,227.32625746000005,-94.03782980782645,9.44883828503745,0.00054644,6369,0.056177515137408464,-1.5578729281468051
52.03,76,11604,276,152,228.04934602000006,-94.67855013333835,9.804261189240675,0.0005380000000000001,6580,0.055296496559794135,-1.8733581745853791
52.46,75,11846,280,157,236.08929695999998,-94.7698914574795,9.91351954663386,0.00052884,6809,0.054670324091051443,-0.436652239717421
53.22,73,12075,284,163,241.62602155000002,-96.87568615852518,9.561459247102128,0.0005189200000000001,7057,0.054249506364477444,-0.5989117552625373
53.83,73,12290,288,168,245.86138927000005,-94.15244668429015,8.436051751746506,0.00051044,7269,0.053057879942362426,-1.5347368668337338
54.31,72,12492,292,172,249.40998182000004,-93.62040975142499,8.514302905724973,0.00050244,7469,0.05295796023339641,0.8175200309072223
55.32,71,12754,296,178,249.52126808,-89.26494469275842,7.883390683394212,0.00049256,7716,0.053104213911753434,-0.8314835126583393
57.5,69,13130,300,187,256.86522758,-88.84119273276225,10.635707695118702,0.0004776,8090,0.05210467669976889,-0.609948084628495
58.24,68,13376,304,193,258.22606408,-87.63116029833184,8.885903874381643,0.00046688,8358,0.051708104424789306,-0.23936998062446468
59.59,68,13700,308,200,258.26076596,-88.14757874432732,8.163006992901073,0.00045499999999999995,8655,0.05219209616017692,0.8996419428902513
60.12,67,13955,312,207,262.96294847999997,-87.4075069173177,8.134233442942302,0.00044352000000000004,8942,0.0524086524049441,0.01077128251393636
61.38,66,14264,316,214,265.36117377000005,-89.6039407059953,7.995648822268924,0.00043223999999999997,9224,0.0524455613985255,0.5144190872843201
62.19,65,14540,320,220,267.41972947,-89.0519210100174,7.542520485818386,0.00042088000000000005,9508,0.05202086322242394,-0.708815660327673
62.03,65,14757,324,226,269.41721924999996,-86.68162871852066,7.792121590990009,0.00041116,9751,0.05108309904056968,-1.4264662234169063
61.58,64,14978,328,231,269.67900082999995,-88.19761076427642,8.15439410436721,0.00040332000000000003,9947,0.05038138413949618,0.006638609700732761
62.13,64,15249,332,237,270.38567407000005,-88.23659398005559,8.393307557472816,0.00039312000000000006,10202,0.050622963991302714,-0.7080817624735527
63.6,63,15593,336,245,277.83131267,-86.02984215872628,10.115982505253383,0.00037888,10558,0.051027239114046094,-0.10644263469037556
64.53,62,15904,340,253,283.36836798,-85.24937956068251,8.954955620235866,0.00036607999999999996,10878,0.05163755594856209,1.5375413570139143
64.53,62,16124,344,258,290.67266467999997,-85.41732082944928,8.654028755245786,0.0003569600000000001,11106,0.05316346595910462,0.11143800435644208
64.63,61,16339,348,264,293.63074817999996,-85.99239921569824,8.591857033391152,0.00034840000000000007,11320,0.05400437819621255,1.4045755824735087
66.35,61,16727,352,271,293.56186772000007,-90.29501035736828,9.328468177376724,0.00033596000000000006,11631,0.054907486705881796,0.34770672095984945
67.88,60,17130,356,281,286.07611374000004,-90.91678801037017,9.242782343001593,0.00031864,12064,0.05630573745639551,0.800814864890916
69.04,60,17554,360,290,282.60097372999996,-91.74697221292031,10.092237971924447,0.00030284,12459,0.05833531357347965,0.22470930732182554
69.19,59,17907,364,299,288.78054156999997,-90.39097017855258,10.245049141548776,0.00028688000000000005,12858,0.05857908368312024,0.18205510069792336
70.05,59,18205,368,308,290.88109385999996,-92.52378403513055,9.585058475795545,0.00027496,13156,0.05828498078412131,0.3009059758562791
71.55,58,18539,372,317,296.53624246999993,-94.08521323110543,10.535456133823768,0.00026164,13489,0.058062186245532596,-0.12319749308859601
72.05,58,18809,376,323,298.69104808,-92.96731730143229,10.261700274149577,0.00025056,13766,0.057135924100875854,0.03285271724065145
72.26,57,19072,380,330,300.53101726,-94.07241086959839,10.182010209560394,0.00023944,14044,0.057453928096219894,0.1490665916353464
72.34,57,19309,384,336,301.61645339,-93.00930207351158,10.074078017267688,0.0002298,14285,0.05708710637328954,-0.7306825775524666
72.9,57,19580,388,342,303.34207162999996,-93.1380256796783,10.095946257969118,0.00021999999999999998,14530,0.05642711638279681,-0.7942716310609061
74.49,56,19941,392,350,309.59278318,-88.45401069445488,9.780242840449015,0.0002058,14885,0.055813284256519415,0.15515667754106033
74.82,56,20236,396,357,305.1942277,-90.23384239560082,10.127598203931536,0.00019320000000000003,15200,0.056590479363997775,0.7577552785476048
73.45,56,20475,400,363,298.42338765,-88.18039653340324,10.967552450836681,0.0001834,15445,0.05742432769449031,-0.2972299363769469
74.35,56,20811,404,370,298.44841597000004,-88.84003731639115,11.448764024321566,0.00017096,15756,0.057359154537780996,-0.055176893921242545
73.27,55,21027,408,376,297.76461373,-84.63561697567211,11.876470266603956,0.00016100000000000004,16005,0.05699462640811415,-0.9838828169832042
73.03,55,21258,412,381,294.8387583,-84.86984791475184,11.95631529303158,0.00015247999999999995,16218,0.056263261967722106,-0.49157170929452954
