rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/actor_loss,train/n_updates,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss
33.25,51.59339325,133,0,4,898,,,,,,
33.625,61.31872224999999,269,0,8,887,,,,,,
34.25,59.35463624999999,411,0,12,892,,,,,,
35.0,64.07483512499999,560,0,16,892,,,,,,
34.7,69.69046684999999,694,0,20,896,,,,,,
35.208333333333336,80.207147875,845,0,24,901,,,,,,
35.0,76.79210964285714,980,1,28,904,,,,,,
35.34375,76.832988875,1131,1,32,908,,,,,,
35.77777777777778,80.23977316666667,1288,1,36,912,,,,,,
35.575,78.09120279999999,1423,1,40,913,,,,,,
35.81818181818182,77.20607711363635,1576,1,44,914,,,,,,
35.75,78.87855222916666,1716,1,48,915,,,,,,
35.84615384615385,78.35800763461539,1864,2,52,916,,,,,,
35.82142857142857,80.54579892857143,2006,2,56,916,,,,,,
35.95,82.45882103333334,2157,2,60,917,,,,,,
35.84375,81.74698448437499,2294,2,64,917,,,,,,
35.779411764705884,80.01533105882352,2433,2,68,918,,,,,,
35.94444444444444,82.42056648611111,2588,2,72,919,,,,,,
36.026315789473685,83.37774085526314,2738,2,76,919,,,,,,
35.8875,83.6677204375,2871,3,80,919,,,,,,
35.75,82.61818760714286,3003,3,84,919,,,,,,
35.73863636363637,83.87226493181817,3145,3,88,920,,,,,,
35.77173913043478,85.42539220652172,3291,3,92,920,,,,,,
35.96875,86.47089625000001,3453,3,96,920,,,,,,
36.03,87.01951317000001,3603,3,100,921,,,,,,
36.11,87.83312670999997,3744,4,104,921,,,,,,
36.04,86.47432195999998,3873,4,108,921,,,,,,
36.03,87.19301941000002,4014,4,112,921,,,,,,
36.04,88.10237615000001,4164,4,116,922,,,,,,
36.09,87.82734174,4303,4,120,922,,,,,,
36.02,86.76390310000001,4447,4,124,921,,,,,,
36.1,87.58421653,4590,4,128,919,,,,,,
36.14,87.36138597000003,4745,5,132,918,,,,,,
35.94,85.65919567000003,4882,5,136,916,,,,,,
36.04,87.94732768,5027,5,140,914,,,,,,
36.3,91.46437229000001,5206,9,144,557,-52.231256771087644,165,0.8915152326226234,0.0007938000000000001,-3.765682989358902,130.72975568771363
36.66,88.13100902999999,5382,13,148,402,-88.31504077003116,352,0.7744170058341253,0.0007863200000000001,-7.810278370266869,47.34641215914772
36.99,81.52159660999999,5563,17,152,317,-115.20253915989653,526,0.682365099166302,0.0007793600000000001,-10.952758099170442,27.843555612766995
37.3,73.95520217999999,5736,21,156,267,-136.60391530123624,706,0.6001606461676684,0.0007721599999999999,-13.852081775665283,17.294666225259956
37.52,69.1950269,5909,25,160,231,-150.61310062852016,879,0.5328239659930385,0.00076524,-16.088315764138866,21.3108382335929
37.78,66.94036223,6072,29,164,208,-157.8325210571289,1043,0.4771585650742054,0.0007586800000000001,-18.271095418930052,25.19788341522217
37.93,69.13502566999999,6226,32,168,191,-162.76197117396762,1198,0.43071228095463343,0.00075248,-19.380658285958425,30.272587803431918
38.0,69.26184103,6388,35,172,177,-165.92092373496607,1350,0.392300778313687,0.0007463999999999999,-20.019403106287907,37.87810124849018
38.1,71.82025119999999,6548,39,176,165,-171.5816563786687,1511,0.3564095215217487,0.00073996,-21.129040228353965,29.62751326689849
38.43,77.10577140000001,6714,43,180,154,-167.16329814112464,1677,0.32282815215199495,0.00073332,-23.44042028382767,21.240034458249113
38.76,80.44512492000001,6879,46,184,146,-165.56436822353265,1840,0.29221180310616124,0.0007268,-23.048348353459286,34.790802637736
39.23,83.44953577,7068,51,188,137,-165.91241420399058,2031,0.26351808485659683,0.00071916,-21.740095615386963,24.632718302986838
39.61,89.26657693000001,7252,55,192,130,-168.1691025443699,2218,0.23979299742242563,0.00071168,-21.476847109587297,23.933201022770096
39.68,96.29163033,7421,59,196,125,-169.7373557867006,2389,0.22034734210302664,0.0007048400000000001,-21.468347372010697,19.444541354512058
40.91,104.24556317999999,7694,64,200,119,-158.6161692371107,2630,0.1961343574197325,0.0006952000000000001,-24.304774741603904,17.861701560347047
41.14,110.46064299,7858,68,204,114,-149.97180808462747,2832,0.17508444916911242,0.0006871199999999999,-22.927588858255525,14.62831350652183
41.81,117.02931059000001,8054,72,208,111,-145.78473695119223,3000,0.16195797982315221,0.0006804000000000001,-21.84729516506195,13.076952477296194
42.73,120.62391997,8287,77,212,106,-138.72606604439872,3246,0.14496971773249762,0.0006705600000000001,-21.393318516867502,11.561386636325292
43.48,124.35920081,8512,83,216,102,-134.7568812977184,3478,0.1312314821915193,0.00066128,-18.743420323458587,10.87500248822299
45.12,128.47455846,8815,89,220,99,-133.13350384734397,3750,0.11925017643113468,0.0006504,-15.624963494234306,14.43763273815776
45.66,135.47063542,9013,93,224,96,-132.61713705257495,3971,0.11045312455722264,0.00064156,-13.529957090105329,12.376358110077527
46.98,137.7633779,9288,99,228,93,-134.15905083550348,4232,0.10252662499745686,0.00063112,-11.676226146637447,13.495492692977663
47.97,141.75555763,9542,105,232,90,-129.55679413766572,4492,0.09536504169756715,0.00062072,-10.603831630764585,11.30813707004894
48.89,146.8486861,9771,110,236,88,-126.64001094933712,4737,0.08944054128545703,0.00061092,-10.218055732322462,11.263982411586877
